,Requirement
1089,The system shall ensure confidentiality of vital personal information collected at all the system�s controllers. 
1090,The system shall ensure that personal information is not displayed to the public but is encoded in a QR code 
1091,The system shall provide the integrity service through use of md5 hash values to prevent unauthorised modification 
1092,The system shall that the information collected from the previous stage of life should be readily available in any stage and whenever it is required by the rightful user 
1093,The system shall provide a user friendly and interactive interface that is easy to navigate 
1094,The system shall be responsive to user requests and process in real-time. 
1095,The system shall be interactive and provide help information and guidance to the users. 
1096,The system shall hash the passwords using HMAC 
1097,The system shall generate Using Time-based Passwords via the Google- Authenticator Application. 
1098,The system shall authenticate the user with username and password. 
1099,The system shall allow a user to register and log in. 
1100,The system shall validate user passwords. 
1101,The system shall ensure that the password is verifiable whenever they want to log in 
1102,The system shall allow only the legitimate user to modify stored information 
1103,The system shall provide functionality with ease-of-use 
1104,The system shall allow the bank server to verify the credentials of users when logging in for a short period of time. 
1105,The system server shall generate the TOTP value that lasts for the specified amount of time. 
1106,The system generated TOTP shall be a unique passcode that changes after an interval of 30 seconds. 
1107,The system shall enable password changing in a specified time.
1108,The system shall enable fast transmission of information between bank server and the dataset server. 
1109,The system shall have an operational manual to guide users on how to use the system. 
1110,The system shall provide ease of use even to non-technical users. 
1111,The system shall enable users to learn to use the system with minimum training required. 
1112,The system shall enable a visible watermark to be used together with the email client. 
1113,The system shall be given a platform to select a unique watermark that will be inserted onto a document to protect data by providing ownership to the rightful people. 
1114,The system shall allow a user to log into his or her own account providing his or her own email address and password. 
1115,The system shall allow an authenticated user to insert a watermark on a document which will be in PDF format. 
1116,The system shall prevent manipulation of the watermark by an unauthorised user. 
1117,The system shall allow fast speed in embedding a watermark and sending it to the intended recipient.
1118,The system shall have an operation manual to guide the users on how it works. 
1119,The system shall provide an ease to use interface requiring minimum training. 
1120,The system shall   provide authentication service for all users before they can be allowed to embed a watermark through use of an email client. 
1121,The system shall be able to be operated on various platforms. 
1122,The system shall encrypt and decrypt files over a wireless connection. 
1123,The system shall be able to do random check on connection. 
1124,The system shall allow automatic locking after connection is lost.
1125,The system shall be able to register wireless connection. 
1126, The system shall authenticate all users.
1127,The system shall be able to meet all workload with a short reaction time. 
1128,The system shall provide guidance on how to secure a file. 
1129,The system shall allow files to be accessible only to authorised personnel.
1130,The system shall provide Two Factor Authentication. 
1131,The system shall encrypt files using AES algorithm.
1132,The system shall be able to filter outgoing traffic if it contains proxy related request. 
1133,The system shall  be able to filter incoming traffic if it is from a proxy server. 
1134,The system shall   be able to deny websites listed in the database. 
1135,The system shall notify administrators of a proxy requesting IP address or identity. 
1136,The system shall  ensure that the firewall should be able to withstand any load of traffic given to it and be able to filter it efficiently. 
1137,The system shall be user friendly to administrators. 
1138,"The system shall resist unauthorised, accidental or unintended usage and provide access only to legitimate users. "
1139,The system shall allow administrator to view IP address. 
1140,The system shall  display message for blocked website to user. 
1141,The system shall   notify administrator through SMS. 
1142,The system shall  show warning to users. 
1143,The system shall  allow administrator to make changes. 
1144,The system shall be introduced in each representative�s mobile device to screen the gadget�s applications and record the activities performed by the gadget. 
1145,"The system shall analyse the caught activities, check for any approved utilisation and afterwards give a warning to the framework head by transferring the data on the web. "
1146,The system shall  allow the framework executive to sign on to the site keeping in mind the end goal to see the warning messages. 
1147,The system shall be reliably used on any device that meets the hardware and software requirements defined. 
1148,The system shall  be compatible with any Android device. 
1149,The system�s QoS shall guarantee its availability at  99.9% uptime.
1150,The MedX system shall  be developed in Java which is platform independent making it portable. 
1151,The system shall  guarantee confidentiality through encryption of stored data with AES. 
1152,The system shall  use QR codes to facilitate access granting. 
1153,The system shall  permit user credentials registration. 
1154,The system shall  enable activation of credit or debit cards.
1155,The system shall  enable buying patterns to be analysed.
1156,The system shall  allow for anomalies to be curbed after detection.
1157,The system shall perform user re-verification using AVS and distinct security questions. 
1158,"The system shall  allow the time to react to tolerating the exchange to happen or dismissing it, hindering the card and cautioning the head to be brief so as to advance an easy to understand framework. "
1159,"The framework shall  exhibit a high rate of work handling and that of administrations� client from login, during the exchange and client re-verification. "
1160,"The framework shall  be accessible, wherever and whenever a client needs to make a purchase. "
1161,The framework shall allow for a short information transmission. 
1162,The system shall  allow for provision of good quality online services making it easy to use since an interactive GUI will be delivered. 
1163,The system shall  provide mechanisms for the security of online transactions. 
1164,The system shall  restrict illegal sharing of video content protected by copyright providing a secure algorithm for downloading and playback. 
1165,The system server shall  be able to encrypt video content before it is downloaded. 
1166,The system shall ensure that the user can only download if registered with the server. 
1167,The system server shall be able to generate unique transaction IDs after every purchase or free download.  
1168,"The system shall   ensure that the transaction ID, UUID and storage serial should be used for encryption by the server and decryption by the client. "
1169,The system shall   ensure that the client generates the symmetric key used for encryption by the server. 
1170,The system shall enable the client to decrypt video content to a virtual file and parse the location to media players.
1171,The system shall   enable the virtual file to be deleted once the client application is closed. Functionality
1172,The system encryption and decryption algorithms shall be fast enough to decrypt the video and provide it for playback in the shortest time after a click . 
1173,The system shall be easily integrated with the available video players. 
1174,The proposed algorithm shall  be able to be implemented by numerous legally operating online video. 
1175,The system shall  give each user who purchases a copy of a video a lifetime access right to authentic copy the video. 
1176,The system shall deny access to unauthorised users to redistribute the copy they legally purchase. 
1177,The system shall  distribute authentic copies of each supplied video. 
1178,The system shall  encrypt and decrypt files using a wireless connection. 
1179,The system shall  be able to make random check on the connection. 
1180,The system shall  lock automatically after the connection is lost. 
1181,The system shall  be able to register wireless connection. 
1182,The system shall be user friendly. 
1183,The system shall offer user authentication before any user is granted access to the services. 
1184,The system shall offer confidentiality through encryption with AES. 
1185,The system shall meet all workload with a fast response time while maintaining security. 
1186,The system shall ensure the wireless connection enables fast response time which is the time it takes for the mobile phone and laptop to connect to access files. 
1187,The system shall not affect the operation of any applications on the laptop or mobile phone. 
1188,The system shall be flexible and adapts to changes. 
1189,The system shall be available to secure the files from unauthorised users. 
1190,The system shall provide guidance as to how to operate and manoeuvre through it and produce wanted results. 
1191,The system shall  provide Two Factor Authentication. 
1192,The system shall  provide an invisible digital watermark based on Discrete Wavelet Transformation. 
1193,"The system shall  encompass factors of complex computations, robustness and security. "
1194,"The system shall  ensure the digital watermark agency is able to dispatch agents, collect and report the processed information from the visited hosts within the network. "
1195,The system shall be able to guide the agent�s movement by allowing the digital watermark agency to take note of the reports and to create a mutual knowledgebase . 
1196,The system�s digital watermark agency shall control the remote network as an administrator and that is where the agents are stored. 
1197,"The system shall allow that once the agents are being released, they should be able to search the watermarked images from the hosts connected within the network. "
1198,The system shall require the agents to report the detected images to the agency�s database. 
1199,The system shall ensure that the watermark as an essential part of the data remains even after signal processing and data manipulation including any malicious activity 
1200,"The system shall offer a high performance in the time taken by agents on searching the watermarked image, collecting and processing reports to the agency. "
1201,The system shall provide authentication by ensuring that the agents compare the watermark keys on the detected images with the keys already stored in the agency�s database. 
1202,The system shall secure the network by SSL to encrypt sensitive data before it travels within a network and decrypt it when it arrives at an agent server. 
1203,The system shall ensure that the communication of the agents and the agency or server is such that only the registered agents can report to the agency. 
1204,The digital watermarking system shall be compatible will all operating systems. 
1205,The system shall be able to sniff the traffic to and from the network in real-time. 
1206,"The system shall analyse the network traffic and detects intrusion, attacks and threats to the network. "
1207,The system shall be able to warn the network administrator about the possible occurrence of an intrusion attack and provide information regarding that attack.
1208,The system shall block traffic to and from the network that is identified to be potentially malicious. 
1209,The system shall provide reports monthly regarding the anomalies detected. 
1210,The system shall provide visualisation in the form of graphs. 
1211,The system shall be able to monitor the network in real-time. 
1212,The system shall be able to be easily transfer from one hardware or software platform to another. 
1213,The system shall guarantee reliability and resilient to failure 
1214,The system shall be developed to be available all the time. 
1215,The system shall be efficient as it will be able to do near real-time anomaly detection instead of batch processing giving results almost instantly. 
1216,The system shall be able to detect novel attacks which current systems do not yet detect. 
1217,The system shall not require constant updating of its signature as it will be learning on its own and updating its signatures on its own. 
1218,The system shall allow access to authorised users only. 
1219,The system shall show a panel for logs of the anomalies detected.
1220,The system�s main screen shall include HELP and Static Analysis Tabs. 
1221,TheIntrusionD system shall be compatible with every platform that can run a JAVA Virtual Machine. 
1222,The system shall allow a member to spontaneously form a group of n signers using group public keys which associate the group members. 
1223,The system shall allow a user to sign a document on behalf of the group using their secret key. 
1224,The system shall allow the message digest (message + signature) to be transmitted to the recipient via email. 
1225,The system shall allow the recipient to verify the signature using the group public key so that they will be convinced that it actually came from the organisation without the knowledge of the actual signer. 
1226,The SAG system shall perform well in web environments. 
1227,The system shall be able to adapt to all types of applications. 
1228,The system shall be easy to use and also user-friendly. 
1229,The system shall be able to predict potential operational performance bottlenecks and future scalability problems.
1230,The system shall have good performance and resource behaviour. 
1231,"The system shall be easy to maintain as it shall be built following best practices in documentation, complexity avoidance and good programming strategies. "
1232,The system shall be easy to transfer from one environment to another including install ability.
1233,The system shall ensure that only authorised users are granted access. 
1234,"The system shall enable stakeholders to come up with sound, accurate and concrete decisions. "
1235,The system shall allow multiple users to access it at the same time. 
1236,The system shall enable real-time responds to agents and users. 
1237,The system shall generate performance reports. 
1238,The system shall be user-friendly and easy to navigate. 
1239,The system shall allow room for error recovery 
1240,The system shall be able to identify wrong input. 
1241,The system shall have a quick response time to prevent unnecessary delays.
1242,The system shall have log in and log out capabilities which can be seen as the first line of security which most systems should possess for authentication and accountability purposes. 
1243,The system shall provide imaging ability so as to make a copy of the information contained on the mobile device which will be used during the forensics process as the test data source.
1244,The system shall have an extraction module that will be able to take out information from the image that has been created. 
1245,The system shall have an analysis module that will use metadata contained within the extracted information to detect locational data so as to create a movement map from this information. 
1246,The system shall require a larger memory size to increase the processing capability during imaging and extraction stages. 
1247,The system shall provide reliability and fault tolerance through extensive stress testing 
1248,The system shall offer input validation.
1249,The system shall ensure that the hashing and extraction modules are easy to use and have a user manual incorporated in the system. 
1250,The system shall ensure that the embedding module and scanning tool offer relatively good performance and resource behaviour due to the implemented design.
1251,The system shall employ good coding principles like loose coupling of modules for easy maintainance. 
1252,The system shall be transferable to another platform with ease. 
1253,The system�s hashing module shall use SHA-2 algorithm . 
1254,"The system shall have inputs of WAVE audio file, message text, public key and private key. Functionality"
1255,The system shall process all inputs to produce a WAVE audio file  Functionality
1256,The system shall produce encrypted payload and the message signature. 
1257,The system shall be expected to be responsive enough to show no perceived lag during file loading and information entry. 
1258,The system shall not experience slowdowns during input/output and computationally intensive tasks such as encryption and embedding or extraction. 
1259,The system shall have a clutter-free interface with well labelled buttons and selection components. 
1260,The system shall ensure that each private key has to be encrypted with a password to keep it secure. 
1261,The system shall ensure that the public key is left open and accessible to the public domain. 
1262,The system shall be able to detect fraudulent transactions in rea-time. 
1263,The system shall be able to store transaction information . 
1264,The system shall be able to send email and sms alerts of fraudulent transactions. 
1265,The system shall be simple and user-friendly. 
1266,The system shall allow for error recovery. 
1267,The system shall have a self-explanatory user interface.
1268,The system shall be fast with only an acceptable lag when multiple tasks are being processed. 
1269,"The system shall ensure that sensitive information of transaction details should be hashed in the database, in case of a data breach."
1270,The system shall enforce that all users login before they can access the system. 
1271,The system shall offer error handling capabilities. 
1272,The system shall enable authorised reversal of actions. 
1273,The system shall maintain information on log in and log out for accountability. 
1274,"The system shall offer compression ability so as to save data usage, time and storage space and also decompression option for the file to be presentable or readable to the end user."
1275,The system shall enable encryption and decryption capabilities to protect files. 
1276,The system shall allow file type filtering to avoid the overloading of the normal flow information with unnecessary files. 
1277,The system shall process files to be moved over to the other end of a communication channel that is from one machine to the other. 
1278,The system shall be lightweight 
1279,The system shall be simple and easy to maintain. 
1280, The system executable shall be deployable on any platform. 
1281,The system shall be installed in every employee�s mobile phone device to monitor the device apps and record the activities on the device. 
1282,The system shall analyse the captured activities and then give a notification to the system administrator by uploading the information on the web. 
1283,The system shall enable the systems administrator to log on to the website in order to view the notification messages. 
1284,The system shall be reliable and compatible with any hardware and software compatible with Android devices. 
1285,The system shall filter harmful websites against URLs of known harmful websites. 
1286,"The system shall collect and analyse data that the child is typing and if it captures certain keywords or a continuous sequence of expletive, it should send an alert through text to the parent. "
1287,The system shall prevent installation or removal of any applications. 
1288,The system shall generate and send periodic logs to the parent�s smartphone. 
1289,The system shall prevent any media from being sent or received using Bluetooth. 
1290,The system shall be able to generate periodic logs as well as collect and analyse data alerting parents whenever certain keywords are typed. 
1291,The system shall be up and running all the time as long as the smartphone is in use to monitor the child�s activities. 
1292,The system shall run in the background and should not affect overall functioning of the smartphone. 
1293,The system shall be ease to transfer from one platform to another. 
1294,The system shall be able to adapt as new URLs and websites are added to those filtered as they emerge. 
1295, The system shall provide guidance to the parent on how to use it.
1296,The system shall allow a user who has a Twitter account to create an application to access tokens. 
1297,The system shall be able to connect to Twitter Streaming API. 
1298,The system shall be able to extract raw data from Twitter in real-time. 
1299,The system shall be able to pre-process the unstructured data into meaningful information and match with the existing keywords in the database. 
1300,The system shall apply a classification algorithm to classify processed tweets matching with the labelled tweets in the tweets corpus. 
1301,The system shall be used by the government officials to bring relevant information to the user unlike the normal web search. 
1302,The system shall be reliably used on any devices that meet hardware and software requirements stated. 
1303,The system shall be scalable and able to handle growth in data flow leveraging the Twitter API capabilities. 
1304,The system shall be compatible with all operating systems without demanding too many resources. 
1305, The system shall ensure the database containing keywords shall be protected against SQL Injection 
1306,The system shall be capable of Malware detection and classify of both known and unknown Malware into their respective families. 
1307,The system shall be able to detect and combat both existing and new Malware. 
1308,The system shall have a data collection process allowing for benign and malicious data to be collected and submitted into the system for Malware detection.  
1309,The system shall have an analyser which will execute the Malware files to inspect the type 
1310,The system�s Malware analyser shall send all the files and their logs to the main server at the end of the analysis process 
1311,The system�s classification process shall classify identified Malware into its respective families. 
1312,The system�s classification process shall generate a report of what the effects of the malware activity during execution. 
1313,The system�s classification process shall be developed with dependability in mind so as to produce accurate results through reduced margin of false negatives and false positives. 
1314,The system shall be maintainable as it is built with three modules with commands that avoid violating coding principles 
1315,The system services shall be accessible offline since it will be a desktop application. 
1316,The system shall refresh the display every 60 seconds.
1317,The application shall match the color of the schema set forth by Department of Homeland Security
1318, If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30
1319, The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.
1320, If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100
1321,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts
1322,The product shall be intuitive and self-explanatory.  
1323,The product shall respond fast to keep up-to-date data in the display.
1324,The system shall have a MDI form that allows for the viewing of the graph and the data table.
1325,The system shall display Events in a vertical table by time.
1326,The system shall display the Events in a graph by time.
1327,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.
1328,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.
1329,All actions that modify an existing dispute case must be recorded in the case history.
1330,The Disputes System must be accessible by both internal and external users.
1331,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.
1332,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.
1333,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.
1334,The Disputes System shall provide view access capability for authorized users of the application.
1335,The Disputes System shall provide update access capability for authorized users of the application.
1336,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.
1337,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.
1338,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.
1339,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.
1340,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.
1341, The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.
1342,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.
1343, The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.
1344,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.
1345, The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.
1346,The Disputes System must provide the ability to view existing dispute cases.
1347, The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.
1348,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.
1349,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.
1350,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.
1351, The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.
1352, For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.
1353,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.
1354,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.
1355,The product must support Internet Explorer 5.5 and above.
1356,The product must support Mozilla Firefox 1.0 and above.
1357,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.
1358,The product shall run on the existing hardware for all environments.
1359,The product shall adhere to the corporate Architecture guidelines
1360,The product shall comply with corporate User Interface Guidelines
1361,The product shall comply with corporate color scheme
1362,The appearance of the product shall appear professional
1363,The software product is expected to run on Windows or Linux platforms.
1364,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.
1365,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.
1366,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.
1367,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training
1368,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.
1369,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.
1370,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds
1371,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.
1372,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.
1373,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.
1374,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.
1375,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.
1376, The average number of recycled parts records per day shall be 50 000.
1377, The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.
1378, For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.
1379,The product shall interface with the ChoiceParts system once per day at approximately 1
1380,The maintenance of the product will fall within the established corporate maintenance windows.
1381,The product shall be supported using the corporate support center.
1382,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.
1383,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.
1384,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.
1385,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.
1386,Only valid data shall be entered into the system.  No invalid data shall be entered into the system.
1387,One insurance company shall not be able to view another insurance companys claim data.
1388,The product shall free of computer viruses.
1389,The system shall prevent malicious attacks including denial of service.
1390,The product must comply with Sarbanes-Oxley.
1391,The product shall comply with the estimatics laws relating to recycled parts usage.
1392,The product shall comply with insurance regulations regarding claims processing.
1393, The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles
1394, The vehicle data shall include vehicle year  make  and model
1395, The vehicle location shall include street address  city  state  and zipcode
1396, The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.
1397,The search radius shall be between 1 and 30 miles
1398,The system shall locate the preferred repair facility with the highest ratings for the input criteria
1399,The adjuster shall enter the preferred repair facility on the estimate assignment.
1400,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.
1401,The preferred repair facility shall be returned to the user.
1402,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.
1403,The estimator shall search for available recycled parts using damaged vehicle parts information.
1404,The estimator shall search for available recycled parts using a list of preferred parts suppliers.
1405,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.
1406,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers
1407,The system shall retain the available recycled parts and suppliers returned from the search.
1408,The available recycled parts information and their suppliers shall be returned to the user.
1409,The estimator shall apply selected recycled parts to the collision estimate.
1410,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.
1411,The adjuster shall review the collision estimate.
1412,The adjuster shall request a recycled parts audit of the collision estimate.
1413,The recycled parts search results provided to the estimator shall be retrieved by the system.
1414,The system shall generate an audit report based on the available recycled parts and the collision estimate.
1415,The audit report shall include the total number of recycled parts used in the estimate.
1416,The audit report shall include the number of available recycled parts from the original search results.
1417, The audit report shall include the percentage of available recycled parts used in the estimate
1418,The audit report shall include the total score of the audit which sums the indivual line items.
1419,The audit report shall be displayed to the user.
1420,The audit report shall be available to other adjusters at later points in time.
1421,The user shall select to view the preferred repair facility ratings.
1422,The current repair facility ratings shall be displayed to the user.
1423,The system will display a blank set of ratings if there are not ratings yet defined.
1424,The user shall enter new ratings based on the audit report
1425,The ratings shall be from a scale of 1-10
1426,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts
1427,The user shall select to save the preferred repair facility ratings.
1428,The preferred repair facility ratings shall be saved by the system.
1429, The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.
1430,The product will function alongside server software on any operating system where the Java runtime can be installed.
1431,The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.
1432, The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.
1433, A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.
1434, The product s Look and Feel shall be able to incorporate aspects of the customer s organization such as logo  branding  and identity
1435,The product shall have a conservative and professional appearance.
1436,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.
1437,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.
1438,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.
1439,The product shall allow the user to select a chosen language from one of the target market countries.
1440,The product shall allow for customization of start page and views preferences.
1441, An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.
1442,The product shall use a standard navigation menu familiar to most web users.
1443,The product shall allow for intuitive searching of available conference rooms.
1444,The product shall conform to the Americans with Disabilities Act.
1445,The response shall be fast enough to avoid interrupting the user s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.
1446, Aside from server failure  the software product shall achieve 99.99% up time.
1447,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.
1448, The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.
1449, The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.
1450,The product shall be expected to operate for at least 5 years for each customer installation.
1451,The product shall be used in office environments.
1452,The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).
1453,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.
1454,The product must be able to interface with various email servers. The product shall be able to send email.
1455,The product shall be available for distribution via the Internet as a binary or ZIP file.
1456,The product shall be available for distribution as a packaged CD.
1457, The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.
1458,A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.
1459,The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.
1460,The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product s software code.
1461,Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.
1462,Every registered user will have access to the product s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.
1463,The customer shall be able to easily integrate new building maps with the product throughout the product s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.
1464, The product shall be translated into foreign languages other than the target market countries  languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market s language.
1465, The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.
1466,The product shall be able to be installed in any operating environment within 2 days.
1467,The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.
1468,Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.
1469,The product shall ensure that the database s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.
1470,The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems  data shall remain 100% uncorrupted each time malicious data is input into the product.
1471,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.
1472,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.
1473,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.
1474,The product shall be able to display calendar dates and times according to the user s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.
